0,177
1,266
2,549
3,8
4,19
5,295
6,151
7,100
8,19
9,1372
10,712
11,711
12,409
13,15
14,19
15,345
16,124
17,58
18,860
19,1005
20,5
21,5
22,200
23,758
24,90
25,83
26,143
27,157
28,7
29,8
30,540
31,920
32,15167
33,37
34,14
35,78
36,2936
37,1074
38,15596
39,50675
40,211
41,14945
42,101
43,219
44,196
45,911
46,75
47,444
48,42135
49,1120
50,249
51,195
52,501
53,509
54,83
55,704
56,535
57,12
58,165
59,197
60,1489
61,141
62,543
63,3
64,192
65,4472
66,319
67,189
68,215
69,246
70,98
71,143
72,22
73,50
74,47
75,324
76,869
77,250
78,1060
79,1600
80,464
81,26
82,287
83,198
84,95
85,194
86,93
87,55
88,155
89,3837
90,23
91,152
92,62
93,97
94,516
95,271
96,334
97,89
98,232
99,58
100,54
101,2237
102,155
103,812
104,244
105,657
106,35
107,765
108,234
109,45
110,2794
111,88
112,73
113,49
114,61
115,49
116,266
117,1026
118,37
119,60
120,92
121,50
122,19
123,1302
124,98
125,39
126,95
127,200
128,276
129,187
130,23
131,68
132,27
133,245
134,15
135,17
136,467
137,27
138,53
139,26
140,13
141,211
142,7
143,5
144,7
145,2
146,3
147,1779
148,52
149,15
150,597
151,232
152,163
153,111
154,7
155,546
156,830
157,71
158,34
159,130
160,12
161,1010
162,23
163,104
164,330
165,274
166,300
167,256
168,293
169,276
170,3099
171,225
172,24
173,86
174,91
175,970
176,404
177,65
178,479
179,998
180,50
181,20
182,15
183,14
184,182
185,1376
186,660
187,51
188,62
189,259
190,60
191,69
192,163
193,204
194,61
195,337
196,24
197,191
198,111
199,223
200,239
201,1133
202,12
203,327
204,316
205,262
206,257
207,186
208,529
209,611
210,61
211,206
212,70
213,304
214,25
215,320
216,60
217,45
218,91
219,39
220,230
221,34
222,228
223,74
224,9
225,3257
226,112
227,307
228,181
229,820
230,53
231,10
232,366
233,95
234,284
235,309
236,176
237,3032
238,6
239,24
240,7
241,2
242,911
243,202
244,272
245,65
246,405
247,75
248,412
249,1160
250,276
251,621
252,3
253,5
254,96
255,1474
256,250
257,25
258,987
259,684
260,691
261,523
262,317
263,17
264,895
265,166
266,139
267,584
268,28
269,701
270,1734
271,2094
272,650
273,85
274,195
275,141
276,114
277,46
278,306
279,633
280,110
281,453
282,233
283,29
284,138
285,268
286,1183
287,40
288,147
289,181
290,117
291,117
292,84
293,56
294,8
295,58
296,4
297,525
298,86
299,23
300,37
301,1204
302,8
303,3
304,41
305,75
306,24
307,48
308,263
309,309
310,2594
311,103
312,91
313,71
314,204
315,130
316,7
317,127
318,56
319,435
320,305
321,50
322,81
323,45
324,52
325,193
326,90
327,5
328,162
329,62
330,118
331,194
332,116
333,30
334,774
335,97
336,84
337,224
338,1274
339,39
340,643
341,396
342,319
343,29
344,262
345,490
346,335
347,264
348,138
349,106
350,248
351,420
352,438
353,2
354,4
355,2
356,2
357,147
358,85
359,28
360,1
361,90
362,97
363,109
364,174
365,442
366,16
367,87
368,179
369,103
370,375
371,782
372,49
373,79
374,584
375,99
376,6
377,67
378,82
379,677
380,85
381,95
382,210
383,14
384,437
385,54
386,111
387,129
388,248
389,831
390,376
391,44
392,239
393,148
394,23
395,122
396,674
397,307
398,515
399,235
400,41
401,124
402,221
403,81
404,54
405,879
406,228
407,693
408,479
409,110
410,70
411,119
412,284
413,1880
414,263
415,412
416,105
417,22
418,481
419,47
420,600
421,183
422,150
423,288
424,352
425,606
426,508
427,96
428,43
429,34
430,84
431,78
432,466
433,321
434,207
435,136
436,28
437,33
438,1863
439,54
440,235
441,609
442,218
443,16
444,173
445,174
446,112
447,231
448,125
449,690
450,4
451,117
452,93
453,64
454,147
455,33
456,6
457,19
458,151
459,104
460,166
461,6
462,1
463,79
464,695
465,41
466,62
467,175
468,105
469,74
470,72
471,1
472,8
473,4
474,13
475,2167
476,102
477,34
478,133
479,926
480,73
481,102
482,27
483,88
484,30
485,202
486,231
487,27
488,720
489,259
490,445
491,244
492,259
493,221
494,84
495,124
496,3
497,346
498,45
499,118
500,202
501,319
502,110
503,77
504,298
505,97
506,61
